Unnamed: 0,Unnamed: 0.1,carat,depth,table,price,x,y,z,color,clarity,label
11121,11121,0.71,61.1,54.0,4937,5.78,5.84,3.55,F,VVS1,Ideal
29669,29669,0.32,61.3,55.0,707,4.45,4.43,2.72,G,VS1,Ideal
14544,14544,1.07,61.8,61.0,5872,6.57,6.54,4.05,D,SI1,Premium
34371,34371,0.41,60.0,56.0,863,4.82,4.88,2.91,F,VS2,Ideal
48286,48286,0.53,62.3,57.0,1956,5.23,5.19,3.25,E,VS2,Ideal
14794,14794,1.05,59.3,59.0,5952,6.63,6.69,3.95,D,SI1,Very Good
41173,41173,0.4,62.4,57.0,1200,4.78,4.74,2.97,G,VVS1,Ideal
33604,33604,0.31,61.3,56.0,462,4.36,4.41,2.69,D,SI2,Ideal
30401,30401,0.32,62.5,58.0,730,4.33,4.37,2.72,H,VVS1,Premium
25899,25899,2.48,56.7,66.0,15030,8.88,8.64,4.99,I,SI2,Fair
41666,41666,0.31,60.4,56.0,1239,4.43,4.38,2.66,E,IF,Ideal
52531,52531,0.72,61.7,55.0,2530,5.71,5.76,3.54,I,VVS2,Ideal
30569,30569,0.31,61.6,57.0,734,4.36,4.38,2.69,D,VS2,Ideal
39039,39039,0.37,61.2,56.0,1056,4.61,4.64,2.83,G,IF,Ideal
15119,15119,1.07,61.4,56.0,6076,6.65,6.61,4.07,G,VS1,Premium
20635,20635,1.2,63.3,59.0,8928,6.72,6.64,4.23,G,VVS1,Very Good
24264,24264,1.51,63.6,56.0,12490,7.34,7.23,4.63,E,SI1,Good
22696,22696,0.3,59.3,59.0,630,4.42,4.38,2.61,G,VS2,Premium
19932,19932,1.08,61.9,58.0,8481,6.54,6.57,4.06,D,VS2,Ideal
22178,22178,1.55,59.7,66.0,10217,7.59,7.47,4.49,F,SI1,Fair
36418,36418,0.42,63.0,59.0,942,4.79,4.77,3.01,D,SI1,Premium
43465,43465,0.56,62.1,55.0,1417,5.29,5.33,3.3,G,SI1,Ideal
49713,49713,0.5,62.1,56.0,2148,5.06,5.11,3.16,E,VVS1,Very Good
13394,13394,0.32,63.3,57.0,602,4.34,4.38,2.76,F,VS2,Good
38444,38444,0.4,63.6,55.0,1028,4.67,4.7,2.98,E,VVS2,Very Good
38149,38149,0.54,61.2,60.0,1013,5.22,5.2,3.19,I,SI2,Premium
53182,53182,0.71,65.9,57.0,2631,5.51,5.57,3.65,E,SI1,Good
24942,24942,2.02,64.6,59.0,13399,7.95,7.9,5.12,J,VS1,Fair
50612,50612,0.26,62.0,56.0,399,4.08,4.11,2.54,H,VS1,Very Good
5354,5354,1.05,62.2,59.0,3816,6.44,6.51,4.03,E,SI2,Very Good
41671,41671,0.4,62.0,56.0,1240,4.73,4.78,2.95,G,VS2,Ideal
31183,31183,0.32,62.0,55.0,756,4.47,4.37,2.74,D,SI1,Ideal
730,730,0.31,61.6,55.0,557,4.36,4.41,2.7,I,VVS1,Ideal
6512,6512,1.44,58.2,58.0,4064,7.39,7.35,4.29,J,SI2,Premium
53100,53100,0.7,62.4,55.0,2614,5.67,5.7,3.55,E,SI1,Ideal
46171,46171,0.5,61.8,58.0,1746,5.09,5.07,3.14,E,VS2,Premium
20572,20572,1.6,61.9,55.0,8886,7.51,7.54,4.66,J,VS2,Ideal
16095,16095,1.26,62.1,57.0,6435,6.94,6.88,4.29,H,SI1,Premium
49729,49729,0.52,61.9,61.0,2153,5.13,5.11,3.17,G,VVS1,Premium
43962,43962,0.35,61.2,56.0,517,4.56,4.59,2.8,G,SI2,Ideal
52303,52303,0.23,61.4,55.0,548,3.96,3.99,2.44,F,VS1,Ideal
9051,9051,0.34,60.0,58.0,589,4.55,4.51,2.72,I,SI1,Premium
8487,8487,1.01,62.1,59.0,4418,6.36,6.42,3.97,I,SI1,Very Good
47129,47129,0.54,61.8,55.0,1829,5.22,5.3,3.24,G,VVS2,Ideal
11233,11233,1.13,62.4,59.0,4964,6.63,6.58,4.12,I,VS2,Premium
49547,49547,0.77,63.6,58.0,2129,5.77,5.81,3.68,H,SI2,Very Good
16296,16296,1.32,61.3,58.0,6520,7.05,7.01,4.31,H,VVS2,Premium
